metric,value,unit,year,source,source_id,url,status,chosen,error,cache_hit,cache_age_s,budget_used,retries
CITATIONS_TOTAL,,count,2000,NBER Working Paper 7741,NBER-W7741,https://www.nber.org/papers/w7741,blocked_domain,False,domain_not_whitelisted,True,6696.539103,1,1
CITATIONS_TOTAL,0,count,2025,Google Patents,GOOGLE-PATENTS,https://patents.google.com/patent/US20230012345,ok,True,,True,6696.539103,1,1
FAMILY_SIZE,1,count,2024,WIPO IP Indicators,WIPO-2024,https://www.wipo.int/web-publications/world-intellectual-property-indicators-2024-highlights/en/patents-highlights.html,ok,True,,True,6696.539103,1,1
COUNTRIES,[],countries,2024,WIPO IP Indicators,WIPO-2024,https://www.wipo.int/web-publications/world-intellectual-property-indicators-2024-highlights/en/patents-highlights.html,missing,True,no_adapter_result,True,6696.539103,1,1
LITIGATION_FLAG,,boolean,2012,USPTO Official Gazette,USPTO-OG-2012-52,https://www.uspto.gov/web/offices/com/sol/og/2012/week52/TOCCN/item-80.htm,missing,True,no_adapter_result,True,6696.539103,1,1
LITIGATION_FLAG,,boolean,2005,WIPO Magazine - Freedom to Operate,WIPO-FTO-ARTICLE,https://www.wipo.int/en/web/wipo-magazine/articles/ip-and-business-launching-a-new-product-freedom-to-operate-34956,missing,False,no_adapter_result,True,6696.539103,1,1
RENEWAL_STATUS,active,status,2012,USPTO Maintenance Fee,USPTO-FEE,https://www.uspto.gov/web/offices/com/sol/og/2012/week52/TOCCN/item-80.htm,ok,True,,True,6696.539103,1,1
SEP_INDICATION,declared,boolean,2022,ETSI SEP List,ETSI-SR-000-314,https://www.etsi.org/deliver/etsi_sr/000300_000399/000314/02.32.01_60/sr_000314v023201p.pdf,ok,True,,True,6696.539103,1,1
HHI,,index,2024,DOJ / FTC Guidelines,DOJ-HHI,https://www.justice.gov/atr/herfindahl-hirschman-index,blocked_domain,True,domain_not_whitelisted,True,6696.539103,1,1
GENERALITY,,index,2001,NBER Working Paper 8498,NBER-W8498,https://www.nber.org/papers/w8498,blocked_domain,True,domain_not_whitelisted,True,6696.539103,1,1
ORIGINALITY,,index,2000,NBER Working Paper 7741,NBER-W7741,https://www.nber.org/papers/w7741,blocked_domain,True,domain_not_whitelisted,True,6696.539103,1,1
AGE_YEARS,2.61,years,2025,Google Patents,GOOGLE-PATENTS,https://patents.google.com/patent/US20230012345,ok,True,,True,6696.539103,1,1
